"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"批量添加用户名和钥匙测试用例","290437","test_add_alwaysusers_passcodes[test_user_009-5]","tests","Mon Jul 21 21:18:37 CST 2025","passed","Mon Jul 21 21:23:27 CST 2025","","test_add_access","",""
"WiFi固件升级测试用例","109821","test_wifi_firmware_ota_upgrade[1-3]","tests","Mon Jul 21 20:20:11 CST 2025","passed","Mon Jul 21 20:22:01 CST 2025","","test_ota","",""
"锁固件升级测试用例","85976","test_lock_firmware_ota_upgrade[2-3]","tests","Mon Jul 21 20:17:00 CST 2025","passed","Mon Jul 21 20:18:26 CST 2025","","test_ota","",""
"测试切换WiFi网络","73899","test_change_wifi[desloc_testingwifi_tplink IOT-asdfgVCXZ]","tests","Mon Jul 21 20:13:58 CST 2025","passed","Mon Jul 21 20:15:12 CST 2025","","test_change_wifi","",""
"批量添加用户名和钥匙测试用例","292346","test_add_alwaysusers_passcodes[test_user_004-5]","tests","Mon Jul 21 20:52:28 CST 2025","passed","Mon Jul 21 20:57:20 CST 2025","","test_add_access","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","446085","test_add_alwaysusers_passcodes_via_wifi[test_user_014-5]","tests","Mon Jul 21 21:46:57 CST 2025","passed","Mon Jul 21 21:54:23 CST 2025","","test_add_access","",""
"测试切换WiFi网络","73912","test_change_wifi[desloc_testingwifi_asus Guest-asdfgVCXZ]","tests","Mon Jul 21 20:01:14 CST 2025","passed","Mon Jul 21 20:02:28 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","81496","test_change_wifi[desloc_testingwifi_TPLink_iot7-asdfgVCXZ]","tests","Mon Jul 21 19:47:27 CST 2025","passed","Mon Jul 21 19:48:49 CST 2025","","test_change_wifi","",""
"批量添加用户名和钥匙测试用例","313161","test_add_alwaysusers_passcodes[test_user_007-5]","tests","Mon Jul 21 21:07:49 CST 2025","passed","Mon Jul 21 21:13:02 CST 2025","","test_add_access","",""
"测试切换WiFi网络","70384","test_change_wifi[desloc_testingwifi_asus-asdfgVCXZ]","tests","Mon Jul 21 19:50:20 CST 2025","passed","Mon Jul 21 19:51:31 CST 2025","","test_change_wifi","",""
"批量添加用户名和钥匙测试用例","314184","test_add_alwaysusers_passcodes[test_user_006-5]","tests","Mon Jul 21 21:02:25 CST 2025","passed","Mon Jul 21 21:07:39 CST 2025","","test_add_access","",""
"循环测试Passage Mode开启和关闭","187511","test_passage_mode_cycle[1]","tests","Mon Jul 21 22:35:26 CST 2025","passed","Mon Jul 21 22:38:34 CST 2025","","test_set_passage_mode","",""
"WiFi固件升级测试用例","79266","test_wifi_firmware_ota_upgrade[3-3]","tests","Mon Jul 21 20:24:03 CST 2025","passed","Mon Jul 21 20:25:23 CST 2025","","test_ota","",""
"批量添加用户名和钥匙测试用例","289039","test_add_alwaysusers_passcodes[test_user_010-5]","tests","Mon Jul 21 21:23:37 CST 2025","passed","Mon Jul 21 21:28:26 CST 2025","","test_add_access","",""
"设置防劫持邮箱测试","37792","test_set_anti_hijacking_email","tests","Mon Jul 21 22:53:23 CST 2025","passed","Mon Jul 21 22:54:00 CST 2025","","test_set_anti_hijacking_assign","",""
"测试切换WiFi网络","65769","test_change_wifi[desloc_testingwifi_netgear-asdfgVCXZ]","tests","Mon Jul 21 19:59:58 CST 2025","passed","Mon Jul 21 20:01:04 CST 2025","","test_change_wifi","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","429006","test_add_alwaysusers_passcodes_via_wifi[test_user_015-5]","tests","Mon Jul 21 21:54:33 CST 2025","passed","Mon Jul 21 22:01:42 CST 2025","","test_add_access","",""
"测试切换WiFi网络","80806","test_change_wifi[desloc_testingwifi_google-ASDFGvcxz]","tests","Mon Jul 21 20:02:38 CST 2025","passed","Mon Jul 21 20:03:58 CST 2025","","test_change_wifi","",""
"批量添加用户名和钥匙测试用例","290886","test_add_alwaysusers_passcodes[test_user_002-5]","tests","Mon Jul 21 20:42:06 CST 2025","passed","Mon Jul 21 20:46:57 CST 2025","","test_add_access","",""
"测试切换WiFi网络","70934","test_change_wifi[desloc_testingwifi_tplink-asdfgVCXZ]","tests","Mon Jul 21 20:12:37 CST 2025","passed","Mon Jul 21 20:13:48 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","76228","test_change_wifi[desloc_testingwifi_eero Guest-asdfgVCXZ]","tests","Mon Jul 21 20:06:57 CST 2025","passed","Mon Jul 21 20:08:13 CST 2025","","test_change_wifi","",""
"批量添加用户名和钥匙测试用例","284496","test_add_alwaysusers_passcodes[test_user_005-5]","tests","Mon Jul 21 20:57:30 CST 2025","passed","Mon Jul 21 21:02:15 CST 2025","","test_add_access","",""
"测试切换WiFi网络","92872","test_change_wifi[\U0001f4f6\u6d4b\u0628\u03b1"" !$%&')*,/:=>?@[\\^|~-S3cur3P@ss_!#$%&'()*+,-./:;<=>?@[\\]^_{|}~ABCxyz123XYZ789!@#]","tests","Mon Jul 21 19:55:39 CST 2025","passed","Mon Jul 21 19:57:12 CST 2025","","test_change_wifi","",""
"批量添加用户名和钥匙测试用例","310846","test_add_alwaysusers_passcodes[test_user_003-5]","tests","Mon Jul 21 20:47:07 CST 2025","passed","Mon Jul 21 20:52:18 CST 2025","","test_add_access","",""
"测试切换WiFi网络","71599","test_change_wifi[desloc_testingwifi_TPLink_w7G-]","tests","Mon Jul 21 19:48:59 CST 2025","passed","Mon Jul 21 19:50:10 CST 2025","","test_change_wifi","",""
"循环测试Vacation Mode开启和关闭","180097","test_vacation_mode_cycle[0]","tests","Mon Jul 21 22:38:44 CST 2025","passed","Mon Jul 21 22:41:44 CST 2025","","test_set_vacation_mode","",""
"通过WiFi进行锁固件升级测试用例（关闭蓝牙）","130585","test_lock_firmware_ota_upgrade_via_wifi[2-3]","tests","Mon Jul 21 20:28:35 CST 2025","passed","Mon Jul 21 20:30:45 CST 2025","","test_ota","",""
"测试切换WiFi网络","227901","test_change_wifi[desloc_testingwifi_eero remote-asdfgVCXZ]","tests","Mon Jul 21 19:51:41 CST 2025","broken","Mon Jul 21 19:55:29 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","71263","test_change_wifi[desloc_testingwifi_TP-Link_wifi7-asdfgVCXZ]","tests","Mon Jul 21 19:44:35 CST 2025","passed","Mon Jul 21 19:45:46 CST 2025","","test_change_wifi","",""
"通过WiFi进行锁固件升级测试用例（关闭蓝牙）","167785","test_lock_firmware_ota_upgrade_via_wifi[1-3]","tests","Mon Jul 21 20:25:37 CST 2025","passed","Mon Jul 21 20:28:25 CST 2025","","test_ota","",""
"锁固件升级测试用例","88804","test_lock_firmware_ota_upgrade[1-3]","tests","Mon Jul 21 20:15:22 CST 2025","passed","Mon Jul 21 20:16:50 CST 2025","","test_ota","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","319239","test_add_alwaysusers_passcodes_via_wifi[test_user_012-5]","tests","Mon Jul 21 21:33:48 CST 2025","passed","Mon Jul 21 21:39:07 CST 2025","","test_add_access","",""
"测试切换WiFi网络","71713","test_change_wifi[desloc_testingwifi_tplink Guest-]","tests","Mon Jul 21 19:58:36 CST 2025","passed","Mon Jul 21 19:59:48 CST 2025","","test_change_wifi","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","297140","test_add_alwaysusers_passcodes_via_wifi[test_user_011-5]","tests","Mon Jul 21 21:28:41 CST 2025","passed","Mon Jul 21 21:33:38 CST 2025","","test_add_access","",""
"循环测试Anti-peeping Passcode开启和关闭","179854","test_anti_peeping_passcode_cycle[1]","tests","Mon Jul 21 22:48:44 CST 2025","passed","Mon Jul 21 22:51:44 CST 2025","","test_set_anti_peeping_passcode","",""
"测试设置防劫持密码","77914","test_set_anti_hijacking_passcode","tests","Mon Jul 21 22:51:54 CST 2025","failed","Mon Jul 21 22:53:12 CST 2025","","test_set_anti_hijacking_assign","",""
"测试切换WiFi网络","66579","test_change_wifi[desloc_testingwifi_tenda-asdfgVCXZ]","tests","Mon Jul 21 20:11:20 CST 2025","passed","Mon Jul 21 20:12:27 CST 2025","","test_change_wifi","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","434524","test_add_alwaysusers_passcodes_via_wifi[test_user_019-5]","tests","Mon Jul 21 22:24:45 CST 2025","passed","Mon Jul 21 22:31:59 CST 2025","","test_add_access","",""
"批量添加用户名和钥匙测试用例","314770","test_add_alwaysusers_passcodes[test_user_008-5]","tests","Mon Jul 21 21:13:12 CST 2025","passed","Mon Jul 21 21:18:27 CST 2025","","test_add_access","",""
"批量添加用户名和钥匙测试用例","239864","test_add_alwaysusers_passcodes[Owner-4]","tests","Mon Jul 21 20:33:17 CST 2025","passed","Mon Jul 21 20:37:17 CST 2025","","test_add_access","",""
"测试修改设备名称","40843","test_rename_device","tests","Mon Jul 21 19:43:44 CST 2025","passed","Mon Jul 21 19:44:25 CST 2025","","test_rename_device","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","456937","test_add_alwaysusers_passcodes_via_wifi[test_user_016-5]","tests","Mon Jul 21 22:01:52 CST 2025","passed","Mon Jul 21 22:09:29 CST 2025","","test_add_access","",""
"测试切换WiFi网络","81147","test_change_wifi[desloc_testingwifi_TPLink_w7MLO-asdfgVCXZ]","tests","Mon Jul 21 19:45:56 CST 2025","passed","Mon Jul 21 19:47:17 CST 2025","","test_change_wifi","",""
"通过WiFi进行锁固件升级测试用例（关闭蓝牙）","131812","test_lock_firmware_ota_upgrade_via_wifi[3-3]","tests","Mon Jul 21 20:30:55 CST 2025","passed","Mon Jul 21 20:33:07 CST 2025","","test_ota","",""
"测试切换WiFi网络","64243","test_change_wifi[desloc_testingwifi_tenda Guest-]","tests","Mon Jul 21 19:57:22 CST 2025","passed","Mon Jul 21 19:58:26 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","72422","test_change_wifi[desloc_testingwifi eero-asdfgVCXZ]","tests","Mon Jul 21 20:05:35 CST 2025","passed","Mon Jul 21 20:06:47 CST 2025","","test_change_wifi","",""
"测试手动输入方式添加设备","107505","test_add_device_manual","tests","Mon Jul 21 19:41:46 CST 2025","passed","Mon Jul 21 19:43:34 CST 2025","","test_add_device","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","444217","test_add_alwaysusers_passcodes_via_wifi[test_user_018-5]","tests","Mon Jul 21 22:17:10 CST 2025","passed","Mon Jul 21 22:24:35 CST 2025","","test_add_access","",""
"测试切换WiFi网络","76289","test_change_wifi[desloc_testingwifi_google Guest-asdfgVCXZ]","tests","Mon Jul 21 20:04:09 CST 2025","passed","Mon Jul 21 20:05:25 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","81257","test_change_wifi[desloc_testingwifi_netgear Guest-asdfgVCXZ]","tests","Mon Jul 21 20:09:49 CST 2025","passed","Mon Jul 21 20:11:10 CST 2025","","test_change_wifi","",""
"WiFi固件升级测试用例","102089","test_wifi_firmware_ota_upgrade[2-3]","tests","Mon Jul 21 20:22:11 CST 2025","passed","Mon Jul 21 20:23:53 CST 2025","","test_ota","",""
"批量添加用户名和钥匙测试用例","269268","test_add_alwaysusers_passcodes[test_user_001-5]","tests","Mon Jul 21 20:37:27 CST 2025","passed","Mon Jul 21 20:41:56 CST 2025","","test_add_access","",""
"测试切换WiFi网络","75377","test_change_wifi[desloc_testingwifi_linksys-asdfgVCXZ]","tests","Mon Jul 21 20:08:23 CST 2025","passed","Mon Jul 21 20:09:39 CST 2025","","test_change_wifi","",""
"循环测试Vacation Mode开启和关闭","179648","test_vacation_mode_cycle[1]","tests","Mon Jul 21 22:41:54 CST 2025","passed","Mon Jul 21 22:44:54 CST 2025","","test_set_vacation_mode","",""
"循环测试Passage Mode开启和关闭","187254","test_passage_mode_cycle[0]","tests","Mon Jul 21 22:32:09 CST 2025","passed","Mon Jul 21 22:35:16 CST 2025","","test_set_passage_mode","",""
"锁固件升级测试用例","85049","test_lock_firmware_ota_upgrade[3-3]","tests","Mon Jul 21 20:18:36 CST 2025","passed","Mon Jul 21 20:20:01 CST 2025","","test_ota","",""
"循环测试Anti-peeping Passcode开启和关闭","210630","test_anti_peeping_passcode_cycle[0]","tests","Mon Jul 21 22:45:04 CST 2025","passed","Mon Jul 21 22:48:34 CST 2025","","test_set_anti_peeping_passcode","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","441099","test_add_alwaysusers_passcodes_via_wifi[test_user_017-5]","tests","Mon Jul 21 22:09:39 CST 2025","passed","Mon Jul 21 22:17:00 CST 2025","","test_add_access","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","450144","test_add_alwaysusers_passcodes_via_wifi[test_user_013-5]","tests","Mon Jul 21 21:39:17 CST 2025","passed","Mon Jul 21 21:46:47 CST 2025","","test_add_access","",""
